# packages in environment at /u/tsiokano/miniforge3/envs/hydromt-wflow-wmo:
#
# Name                    Version                   Build  Channel
_openmp_mutex             4.5                      20_gnu    conda-forge
affine                    2.4.0              pyhd8ed1ab_1    conda-forge
aiohappyeyeballs          2.6.1              pyhd8ed1ab_0    conda-forge
aiohttp                   3.13.3             pyhf64b827_0    conda-forge
aiosignal                 1.4.0              pyhd8ed1ab_0    conda-forge
annotated-types           0.7.0              pyhd8ed1ab_1    conda-forge
async-timeout             5.0.1              pyhcf101f3_2    conda-forge
attr                      2.5.2                h39aace5_0    conda-forge
attrs                     25.4.0             pyhcf101f3_1    conda-forge
aws-c-auth                0.9.6                hb9c0fe4_1    conda-forge
aws-c-cal                 0.9.13               h2c9d079_1    conda-forge
aws-c-common              0.12.6               hb03c661_0    conda-forge
aws-c-compression         0.3.2                h8b1a151_0    conda-forge
aws-c-event-stream        0.5.9                h841be55_2    conda-forge
aws-c-http                0.10.10              hf621c6d_0    conda-forge
aws-c-io                  0.26.1               h3ca20c3_1    conda-forge
aws-c-mqtt                0.14.0               ha25ca29_1    conda-forge
aws-c-s3                  0.11.5               h9b5df67_3    conda-forge
aws-c-sdkutils            0.2.4                h8b1a151_4    conda-forge
aws-checksums             0.2.10               h8b1a151_0    conda-forge
aws-crt-cpp               0.37.2               hb153662_3    conda-forge
aws-sdk-cpp               1.11.606            hc9b1074_13    conda-forge
azure-core-cpp            1.16.2               h206d751_0    conda-forge
azure-identity-cpp        1.13.3               hed0cdb0_1    conda-forge
azure-storage-blobs-cpp   12.16.0              hdd73cc9_1    conda-forge
azure-storage-common-cpp  12.12.0              ha7a2c86_1    conda-forge
azure-storage-files-datalake-cpp 12.14.0              h52c5a47_1    conda-forge
backports.zstd            1.3.0           py314h680f03e_0    conda-forge
blosc                     1.21.6               he440d0b_1    conda-forge
bokeh                     3.8.2              pyhd8ed1ab_0    conda-forge
bottleneck                1.6.0           np2py314h56abb78_3    conda-forge
branca                    0.8.2              pyhd8ed1ab_0    conda-forge
brotli                    1.2.0                hed03a55_1    conda-forge
brotli-bin                1.2.0                hb03c661_1    conda-forge
brotli-python             1.2.0           py314h3de4e8d_1    conda-forge
bzip2                     1.0.8                hda65f42_9    conda-forge
c-ares                    1.34.6               hb03c661_0    conda-forge
ca-certificates           2026.2.25            hbd8a1cb_0    conda-forge
certifi                   2026.2.25          pyhd8ed1ab_0    conda-forge
cftime                    1.6.5           py314hc02f841_1    conda-forge
charset-normalizer        3.4.4              pyhd8ed1ab_0    conda-forge
click                     8.3.1              pyh8f84b5b_1    conda-forge
click-plugins             1.1.1.2            pyhd8ed1ab_0    conda-forge
cligj                     0.7.2              pyhd8ed1ab_2    conda-forge
cloudpickle               3.1.2              pyhcf101f3_1    conda-forge
contourpy                 1.3.3           py314h97ea11e_4    conda-forge
cycler                    0.12.1             pyhcf101f3_2    conda-forge
cytoolz                   1.1.0           py314h5bd0f2a_2    conda-forge
dask                      2026.1.2           pyhcf101f3_1    conda-forge
dask-core                 2026.1.2           pyhcf101f3_0    conda-forge
deprecated                1.3.1              pyhd8ed1ab_1    conda-forge
distributed               2026.1.2           pyhcf101f3_1    conda-forge
donfig                    0.8.1.post1        pyhd8ed1ab_1    conda-forge
folium                    0.20.0             pyhd8ed1ab_0    conda-forge
fonttools                 4.61.1             pyh7db6752_0    conda-forge
freetype                  2.14.1               ha770c72_0    conda-forge
freexl                    2.0.0                h9dce30a_2    conda-forge
frozenlist                1.7.0              pyhf298e5d_0    conda-forge
fsspec                    2026.2.0           pyhd8ed1ab_0    conda-forge
geopandas                 1.1.2              pyhd8ed1ab_0    conda-forge
geopandas-base            1.1.2              pyha770c72_0    conda-forge
geos                      3.14.1               h480dda7_0    conda-forge
gflags                    2.2.2             h5888daf_1005    conda-forge
giflib                    5.2.2                hd590300_0    conda-forge
glog                      0.7.1                hbabe93e_0    conda-forge
google-crc32c             1.8.0           py314hd6bf2bd_1    conda-forge
gwwapi                    0.0.2                    pypi_0    pypi
h2                        4.3.0              pyhcf101f3_0    conda-forge
hdf4                      4.2.15               h2a13503_7    conda-forge
hdf5                      1.14.6          nompi_h19486de_106    conda-forge
hpack                     4.1.0              pyhd8ed1ab_0    conda-forge
hydromt                   1.3.0              pyhd8ed1ab_0    conda-forge
hydromt_wflow             1.0.1              pyhd8ed1ab_1    conda-forge
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
icu                       78.2                 h33c6efd_0    conda-forge
idna                      3.11               pyhd8ed1ab_0    conda-forge
importlib-metadata        8.7.0              pyhe01879c_1    conda-forge
jinja2                    3.1.6              pyhcf101f3_1    conda-forge
joblib                    1.5.3              pyhd8ed1ab_0    conda-forge
json-c                    0.18                 h6688a6e_0    conda-forge
keyutils                  1.6.3                hb9d3cd8_0    conda-forge
kiwisolver                1.4.9           py314h97ea11e_2    conda-forge
krb5                      1.22.2               ha1258a1_0    conda-forge
lcms2                     2.18                 h0c24ade_0    conda-forge
ld_impl_linux-64          2.45.1          default_hbd61a6d_101    conda-forge
lerc                      4.0.0                h0aef613_1    conda-forge
libabseil                 20260107.1      cxx17_h7b12aa8_0    conda-forge
libaec                    1.1.5                h088129d_0    conda-forge
libarchive                3.8.5           gpl_hc2c16d8_100    conda-forge
libarrow                  23.0.1           h3e112c1_2_cpu    conda-forge
libarrow-acero            23.0.1           h635bf11_2_cpu    conda-forge
libarrow-compute          23.0.1           h53684a4_2_cpu    conda-forge
libarrow-dataset          23.0.1           h635bf11_2_cpu    conda-forge
libarrow-substrait        23.0.1           hb4dd7c2_2_cpu    conda-forge
libblas                   3.11.0          5_h4a7cf45_openblas    conda-forge
libbrotlicommon           1.2.0                hb03c661_1    conda-forge
libbrotlidec              1.2.0                hb03c661_1    conda-forge
libbrotlienc              1.2.0                hb03c661_1    conda-forge
libcblas                  3.11.0          5_h0358290_openblas    conda-forge
libcrc32c                 1.1.2                h9c3ff4c_0    conda-forge
libcurl                   8.18.0               hcf29cc6_1    conda-forge
libdeflate                1.25                 h17f619e_0    conda-forge
libedit                   3.1.20250104    pl5321h7949ede_0    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libevent                  2.1.12               hf998b51_1    conda-forge
libexpat                  2.7.4                hecca717_0    conda-forge
libffi                    3.5.2                h3435931_0    conda-forge
libfreetype               2.14.1               ha770c72_0    conda-forge
libfreetype6              2.14.1               h73754d4_0    conda-forge
libgcc                    15.2.0              he0feb66_18    conda-forge
libgcc-ng                 15.2.0              h69a702a_18    conda-forge
libgdal-core              3.12.2               hc2c0581_1    conda-forge
libgfortran               15.2.0              h69a702a_18    conda-forge
libgfortran5              15.2.0              h68bc16d_18    conda-forge
libgomp                   15.2.0              he0feb66_18    conda-forge
libgoogle-cloud           2.39.0               h9d11ab5_1    conda-forge
libgoogle-cloud-storage   2.39.0               hdbdcf42_1    conda-forge
libgrpc                   1.78.0               h1d1128b_1    conda-forge
libhwy                    1.3.0                h4c17acf_1    conda-forge
libiconv                  1.18                 h3b78370_2    conda-forge
libjpeg-turbo             3.1.2                hb03c661_0    conda-forge
libjxl                    0.11.2               ha09017c_0    conda-forge
libkml                    1.3.0             haa4a5bd_1022    conda-forge
liblapack                 3.11.0          5_h47877c9_openblas    conda-forge
liblzma                   5.8.2                hb03c661_0    conda-forge
libmpdec                  4.0.0                hb03c661_1    conda-forge
libnetcdf                 4.9.3           nompi_hbf2fc22_104    conda-forge
libnghttp2                1.67.0               had1ee68_0    conda-forge
libnsl                    2.0.1                hb9d3cd8_1    conda-forge
libopenblas               0.3.30          pthreads_h94d23a6_4    conda-forge
libopentelemetry-cpp      1.21.0               h9692893_2    conda-forge
libopentelemetry-cpp-headers 1.21.0               ha770c72_2    conda-forge
libparquet                23.0.1           h7376487_2_cpu    conda-forge
libpng                    1.6.55               h421ea60_0    conda-forge
libprotobuf               6.33.5               h2b00c02_0    conda-forge
libre2-11                 2025.11.05           h0dc7533_1    conda-forge
librttopo                 1.1.0               h46dd2a8_20    conda-forge
libspatialite             5.1.0           gpl_h2abfd87_119    conda-forge
libsqlite                 3.51.2               hf4e2dac_0    conda-forge
libssh2                   1.11.1               hcf80075_0    conda-forge
libstdcxx                 15.2.0              h934c35e_18    conda-forge
libstdcxx-ng              15.2.0              hdf11a46_18    conda-forge
libthrift                 0.22.0               h454ac66_1    conda-forge
libtiff                   4.7.1                h9d88235_1    conda-forge
libutf8proc               2.11.3               hfe17d71_0    conda-forge
libuuid                   2.41.3               h5347b49_0    conda-forge
libwebp-base              1.6.0                hd42ef1d_0    conda-forge
